Title,Year,Director,Rating,
Dead Man's Letters (1986),1986,Konstantin Lopushanskiy,7.5,
Fist of the North Star (1986),1986,Toyoo Ashida,7.1,
Land of Doom (1986),1986,Peter Maris,3.6,
Solarbabies (1986),1986,Alan Johnson,4.7,
Steel Dawn (1987),1987,Lance Hool,5.1,
Cherry 2000 (1987),2022,Unknown,N/A,
The Seventh Sign (1988),1988,Carl Schultz,5.8,
Akira (1988),1988,Katsuhiro Ôtomo,8.0,
Miracle Mile (1988),1988,Steve De Jarnatt,7.0,
Hell Comes to Frogtown (1988),1988,Donald G. Jackson,5.5,
A Visitor to a Museum (1989),1989,Konstantin Lopushanskiy,7.2,
The Blood of Heroes (The Salute of the Jugger) (1989),1989,David Webb Peoples,6.4,
Bunker Palace Hôtel (1989),1989,Enki Bilal,6.4,
Cyborg (1989),1989,Albert Pyun,5.0,
Millennium (1989),1989,Michael Anderson,5.7,
Aftershock (1990),1990,Frank Harris,4.2,
By Dawn's Early Light (1990),1990,Jack Sholder,6.9,
Solar Crisis (1990),1990,Richard C. Sarafian,4.1,
The Handmaid's Tale (1990),2017,Unknown,8.4,
Hardware (1990),1990,Richard Stanley,5.9,
Circuitry Man (1990),1990,Steven Lovy,4.7,
Terminator 2: Judgment Day (1991),1991,James Cameron,8.6,
Until the End of the World (1991),1991,Wim Wenders,6.8,
The Rapture (1991),1991,Michael Tolkin,6.3,
Neon City (1991),1991,Monte Markham,5.3,
Delicatessen (1991),1991,Marc Caro,7.5,
Split Second (1992),N/A,Unknown,N/A,
American Cyborg: Steel Warrior (1993),1993,Boaz Davidson,4.3,
Body Snatchers (1993),1993,Abel Ferrara,6.0,
The Last Border (1993),1993,Mika Kaurismäki,4.5,
Without Warning (1994),1994,Robert Iscove,6.8,
Plughead Rewired: Circuitry Man II (1994),1994,Robert Lovy,3.5,
In the Mouth of Madness (1994),1994,John Carpenter,7.1,
12 Monkeys (1995),1995,Terry Gilliam,8.0,
Sentinel 2099 (1995),1995,Michael McGee,5.6,
Steel Frontier (1995),1995,Jacobsen Hart,4.8,
Tank Girl (1995),1995,Rachel Talalay,5.4,
Judge Dredd (1995),1995,Danny Cannon,5.6,
Waterworld (1995),1995,Kevin Reynolds,6.3,
The Prophecy (1995),1995,Gregory Widen,6.4,
The Arrival (1996),1996,David Twohy,6.2,
Omega Doom (1996),1996,Albert Pyun,4.0,
Escape from L.A. (1996),1996,John Carpenter,5.7,
The End of Evangelion (1997),1997,Hideaki Anno,8.1,
The Postman (1997),1997,Kevin Costner,6.1,
Future Fear (1997),1997,Lewis Baumander,2.7,
Last Night (1998),1998,Don McKellar,7.1,
The Prophecy 2 (1998),1998,Greg Spence,5.7,
Six String Samurai (1998),1998,Lance Mungia,6.4,
Beowulf (1999),1999,Graham Baker,4.1,
Dogma (1999),1999,Kevin Smith,7.3,
End of Days (1999),1999,Peter Hyams,5.8,
The Matrix (1999),1999,Lana Wachowski,8.7,
The Omega Code (1999),1999,Robert Marcarelli,3.5,
Fail Safe (2000),2000,Stephen Frears,7.4,
The Last Warrior (2000),2017,Dmitriy Dyachenko,6.4,
Left Behind (2000),2000,Vic Sarin,4.3,
Lost Souls (2000),2000,Janusz Kaminski,4.8,
The Prophecy 3: The Ascent (2000),2000,Patrick Lussier,5.4,
On the Beach (2000),2023,Unknown,N/A,
Titan A.E. (2000),2000,Don Bluth,6.6,
Final Fantasy: The Spirits Within (2001),2001,Hironobu Sakaguchi,6.4,
Megiddo: The Omega Code 2 (2001),2001,Brian Trenchard-Smith,3.9,
A.I. Artificial Intelligence (2001),2001,Steven Spielberg,7.2,
Blue Gender:The Warrior (2002),2002,Yasuhiro Geshi,5.5,
28 Days Later (2002),2002,Danny Boyle,7.5,
The Time Machine (2002),2002,Simon Wells,6.0,
Reign of Fire (2002),2002,Rob Bowman,6.2,
Resident Evil (2002),2002,Paul W.S. Anderson,6.6,
Returner (2002),2002,Takashi Yamazaki,6.4,
Terminator 3: Rise of the Machines (2003),2003,Jonathan Mostow,6.3,
Dragon Head (2003),2003,Jôji Iida,5.6,
Dreamcatcher (2003),2003,Lawrence Kasdan,5.5,
Save the Green Planet! (2003),2003,Joon-Hwan Jang,7.2,
Time of the Wolf (2003),2003,Michael Haneke,6.4,
The Animatrix (2003),2003,Peter Chung,7.3,
The Matrix Reloaded (2003),2003,Lana Wachowski,7.2,
The Matrix Revolutions (2003),2003,Lana Wachowski,6.7,
Dawn of the Dead (2004),2004,Zack Snyder,7.3,
The Day After Tomorrow (2004),2004,Roland Emmerich,6.5,
Shaun of the Dead (2004),2004,Edgar Wright,7.9,
Resident Evil: Apocalypse (2004),2004,Alexander Witt,6.1,
The Hitchhiker's Guide to the Galaxy (2005),2005,Garth Jennings,6.7,
Æon Flux (2005),2005,Karyn Kusama,5.4,
The Prophecy: Forsaken (2005),2005,Joel Soisson,4.4,
War of the Worlds (2005),2005,Steven Spielberg,6.5,
Land of the Dead (2005),2005,George A. Romero,6.2,
Supervolcano (2005),2005,Tony Mitchell,6.6,
Children of Men (2006),2006,Alfonso Cuarón,7.9,
Idiocracy (2006),2006,Mike Judge,6.5,
Right at Your Door (2006),2006,Chris Gorak,6.0,
Solar Attack (2006),2006,Paul Ziller,4.0,
Southland Tales (2006),2006,Richard Kelly,5.3,
Planet Terror (2007),2007,Robert Rodriguez,7.0,
Tooth and Nail (2007),N/A,Unknown,N/A,
The Signal (2007),N/A,Unknown,N/A,
The Invasion (2007),2007,Oliver Hirschbiegel,5.9,
Resident Evil: Extinction (2007),2007,Russell Mulcahy,6.2,
20 Years After (2007),2008,Jim Torres,3.2,
The Dark Hour (2007),1936,Charles Lamont,5.4,
Diary of the Dead (2007),2007,George A. Romero,5.5,
28 Weeks Later (2007),2007,Juan Carlos Fresnadillo,6.9,
I Am Legend (2007),2007,Francis Lawrence,7.2,
Babylon A.D. (2008),2008,Mathieu Kassovitz,5.5,
Blindness (2008),2008,Fernando Meirelles,6.5,
Resident Evil: Degeneration (2008),2008,Makoto Kamiya,6.4,
WALL-E (2008),2008,Andrew Stanton,8.4,
Daybreakers (2008),2009,Michael Spierig,6.4,
Aftermath: Population Zero (2008),2008,Unknown,6.8,
Doomsday (2008),2008,Neil Marshall,5.9,
City of Ember (2008),2008,Gil Kenan,6.4,
The Happening (2008),2008,M. Night Shyamalan,5.0,
Pontypool (2008),2008,Bruce McDonald,6.5,
The Road (2009),2009,John Hillcoat,7.2,
Pandorum (2009),2009,Christian Alvart,6.7,
Watchmen (2009),2009,Zack Snyder,7.6,
9 (2009),2009,Shane Acker,7.0,
Knowing (2009),2009,Alex Proyas,6.2,
Survival of the Dead (2009),2009,George A. Romero,4.8,
Zombieland (2009),2009,Ruben Fleischer,7.5,
2012 (2009),2009,Andy Godden,6.2,
Terminator Salvation (2009),2009,McG,6.5,
Battlestar Galactica: The Plan (2009),2009,Edward James Olmos,6.9,
Happy End (2009),2009,Arnaud Larrieu,6.1,
Carriers (2009),2009,David Pastor,6.0,
Earth 2100 (2009),2009,Rudy Bednar,6.6,
Juan of the Dead (2010),2004,Edgar Wright,7.9,
Monsters (2010),2010,Gareth Edwards,6.3,
Stake Land (2010),2010,Jim Mickle,6.4,
Vanishing on 7th Street (2010),2010,Brad Anderson,4.9,
Legion (2010),2010,Scott Stewart,5.3,
Maximum Shame (2010),2010,Carlos Atanes,2.7,
The Book of Eli (2010),2010,Albert Hughes,6.8,
Resident Evil: Afterlife (2010),2010,Paul W.S. Anderson,5.8,
4:44 Last Day on Earth (2011),2011,Abel Ferrara,4.6,
Deadheads (2011),2011,Brett Pierce,5.3,
